vocabulary,ttf,df,idf
the-mussel,285,237,3.2121876044039577
and-beauti,53,53,3.8627275283179747
dad,220,155,3.3961993470957363
my-server,83,77,3.7007037171450192
a-happi,123,120,3.507855871695831
seat-prompt,72,72,3.7299742856995555
a-fine,86,85,3.6580113966571126
magazin,55,51,3.8796692056320534
rabbit-jambalaya,64,60,3.808885867359812
i-kind,59,58,3.824125833916549
island,107,103,3.574031267727719
to-beat,93,93,3.6190933306267428
water,1519,1313,2.462397997898956
formal,52,51,3.8796692056320534
the-buffalo,71,65,3.7745169657285498
onli-downsid,187,185,3.3201462861110542
cafe-iberico,443,347,3.0453229787866576
entertain,230,216,3.2528530309798933
so-incred,52,51,3.8796692056320534
i-mention,215,212,3.2600713879850747
unexpect,131,128,3.4800069429571505
of-stuff,68,68,3.754348335711019
the-amaz,167,160,3.3820170425748683
taken-care,61,61,3.802089257881733
for-happi,110,101,3.583198773968623
to-cut,122,120,3.507855871695831
nicest,52,52,3.8715729355458786
signatur,350,334,3.060697840353612
nt-matter,99,98,3.595496221825574
was-extrem,377,352,3.037426497940624
built,58,57,3.8312296938670634
the-japanes,52,52,3.8715729355458786
the-world,346,328,3.0681858617461617
nt-good,70,69,3.7481880270062002
loui-style,83,74,3.717670503002262
and-slice,67,67,3.7611758131557314
chicago-hot,133,120,3.507855871695831
build,309,297,3.113943352306837
you-love,195,188,3.311753861055754
can-choos,56,55,3.846955325019824
at-time,191,185,3.3201462861110542
great-spot,151,146,3.4216039268698313
NUM-NUM,1274,1296,2.462397997898956
cost-NUM,80,76,3.7067177823367587
my-pizza,117,110,3.545307116465824
a-chain,66,62,3.795184589682424
stack,91,90,3.6324572921847245
def,361,329,3.0681858617461617
the-small,560,539,2.8512583487190755
king-crab,98,87,3.6473829701146196
an-easi,51,51,3.8796692056320534
good-choic,96,94,3.6138418218760693
and-grab,89,88,3.6424645202421213
their-wing,60,58,3.824125833916549
their-wine,73,71,3.73559889969818
of-egg,70,65,3.7745169657285498
ugh,74,73,3.7234556720351857
to-impress,96,92,3.6232492903979003
cube,79,71,3.73559889969818
to-run,81,80,3.683947130751512
crisp,1798,1270,2.4771212547196626
small-order,60,57,3.8312296938670634
